shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
107,36.09992,-80.24519,1,
107,36.09967,-80.24727,2,
107,36.09957,-80.24817,3,
107,36.09946,-80.24907,4,
107,36.09799,-80.2488,5,
107,36.09749,-80.25281,6,
107,36.0974,-80.25371,7,
107,36.09715,-80.25576,8,
107,36.09716,-80.25572,9,
107,36.09638,-80.25637,10,
107,36.09517,-80.25752,11,
107,36.09474,-80.25796,12,
107,36.09452,-80.25833,13,
107,36.09399,-80.25936,14,
107,36.09375,-80.25977,15,
107,36.09371,-80.25979,16,
107,36.09362,-80.25979,17,
107,36.09351,-80.26027,18,
107,36.09326,-80.2613,19,
107,36.09295,-80.26281,20,
107,36.09266,-80.26427,21,
107,36.09252,-80.26528,22,
107,36.09232,-80.26528,23,
107,36.09144,-80.26528,24,
107,36.09102,-80.26528,25,
107,36.09089,-80.26528,26,
107,36.09073,-80.26533,27,
107,36.09039,-80.26553,28,
107,36.08909,-80.26632,29,
107,36.08883,-80.26652,30,
107,36.0887,-80.26663,31,
107,36.08842,-80.26688,32,
107,36.08838,-80.26693,33,
107,36.08836,-80.26776,34,
107,36.08835,-80.26808,35,
107,36.08834,-80.26899,36,
107,36.08833,-80.27028,37,
107,36.08835,-80.27049,38,
107,36.08841,-80.27067,39,
107,36.0885,-80.27087,40,
107,36.08855,-80.27093,41,
107,36.08871,-80.27109,42,
107,36.08883,-80.27116,43,
107,36.08898,-80.27124,44,
107,36.08932,-80.2713,45,
107,36.08982,-80.27136,46,
107,36.08994,-80.27141,47,
107,36.09003,-80.27143,48,
107,36.09012,-80.27143,49,
107,36.09014,-80.27143,50,
107,36.09017,-80.27143,51,
107,36.09062,-80.27161,52,
107,36.09049,-80.27199,53,
107,36.09038,-80.27242,54,
107,36.09029,-80.27292,55,
107,36.09024,-80.2733,56,
107,36.09022,-80.27352,57,
107,36.09019,-80.27411,58,
107,36.09006,-80.27566,59,
107,36.08988,-80.2778,60,
107,36.08965,-80.28053,61,
107,36.08961,-80.28084,62,
107,36.0895,-80.28118,63,
107,36.088,-80.28035,64,
107,36.08795,-80.28104,65,
107,36.08791,-80.28138,66,
107,36.0878,-80.28215,67,
107,36.08762,-80.28283,68,
107,36.08744,-80.28355,69,
107,36.08733,-80.28388,70,
107,36.08721,-80.28415,71,
107,36.08705,-80.28447,72,
107,36.08697,-80.2846,73,
107,36.08675,-80.28492,74,
107,36.08665,-80.28508,75,
107,36.0865,-80.28544,76,
107,36.08638,-80.28625,77,
107,36.08614,-80.28622,78,
107,36.08006,-80.28598,79,
107,36.07911,-80.28597,80,
107,36.07831,-80.28593,81,
107,36.07794,-80.28592,82,
107,36.07821,-80.29725,83,
107,36.07785,-80.29737,84,
107,36.07776,-80.29746,85,
107,36.07766,-80.29761,86,
107,36.07748,-80.29782,87,
107,36.07737,-80.29788,88,
107,36.07674,-80.29815,89,
107,36.07658,-80.29825,90,
107,36.07629,-80.29843,91,
107,36.07588,-80.29858,92,
107,36.07587,-80.29859,93,
107,36.07585,-80.29863,94,
107,36.07579,-80.29867,95,
107,36.07573,-80.29867,96,
107,36.07571,-80.29865,97,
107,36.07562,-80.29874,98,
107,36.07557,-80.2988,99,
107,36.07553,-80.29885,100,
107,36.07546,-80.29894,101,
107,36.07535,-80.29892,102,
107,36.07486,-80.29874,103,
107,36.07465,-80.29861,104,
107,36.07442,-80.29838,105,
107,36.07405,-80.29791,106,
107,36.0732,-80.29678,107,
107,36.07306,-80.29669,108,
107,36.07278,-80.29669,109,
107,36.07269,-80.29676,110,
107,36.07251,-80.29678,111,
107,36.0719,-80.29691,112,
107,36.0702,-80.29721,113,
107,36.06986,-80.29727,114,
107,36.07007,-80.29816,115,
