trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
107WD0615,06:15:00,06:15:00,1,1,,,,,
107WD0615,06:25:00,06:25:00,2,2,,,,,
107WD0615,06:32:00,06:32:00,3,3,,,,,
107WD0615,06:37:00,06:37:00,4,4,,,,,
107WD0615,06:42:00,06:42:00,5,5,,,,,
107WD0615,06:47:00,06:47:00,4,6,,,,,
107WD0615,06:56:00,06:56:00,6,7,,,,,
107WD0615,07:15:00,07:15:00,1,8,,,,,
107WD0715,07:15:00,07:15:00,1,1,,,,,
107WD0715,07:25:00,07:25:00,2,2,,,,,
107WD0715,07:32:00,07:32:00,3,3,,,,,
107WD0715,07:37:00,07:37:00,4,4,,,,,
107WD0715,07:42:00,07:42:00,5,5,,,,,
107WD0715,07:47:00,07:47:00,4,6,,,,,
107WD0715,07:56:00,07:56:00,6,7,,,,,
107WD0715,08:15:00,08:15:00,1,8,,,,,
107WD0815,08:15:00,08:15:00,1,1,,,,,
107WD0815,08:25:00,08:25:00,2,2,,,,,
107WD0815,08:32:00,08:32:00,3,3,,,,,
107WD0815,08:37:00,08:37:00,4,4,,,,,
107WD0815,08:42:00,08:42:00,5,5,,,,,
107WD0815,08:47:00,08:47:00,4,6,,,,,
107WD0815,08:56:00,08:56:00,6,7,,,,,
107WD0815,09:15:00,09:15:00,1,8,,,,,
107WD0915,09:15:00,09:15:00,1,1,,,,,
107WD0915,09:25:00,09:25:00,2,2,,,,,
107WD0915,09:32:00,09:32:00,3,3,,,,,
107WD0915,09:37:00,09:37:00,4,4,,,,,
107WD0915,09:42:00,09:42:00,5,5,,,,,
107WD0915,09:47:00,09:47:00,4,6,,,,,
107WD0915,09:56:00,09:56:00,6,7,,,,,
107WD0915,10:15:00,10:15:00,1,8,,,,,
107WD1015,10:15:00,10:15:00,1,1,,,,,
107WD1015,10:25:00,10:25:00,2,2,,,,,
107WD1015,10:32:00,10:32:00,3,3,,,,,
107WD1015,10:37:00,10:37:00,4,4,,,,,
107WD1015,10:42:00,10:42:00,5,5,,,,,
107WD1015,10:47:00,10:47:00,4,6,,,,,
107WD1015,10:56:00,10:56:00,6,7,,,,,
107WD1015,11:15:00,11:15:00,1,8,,,,,
107WD1115,11:15:00,11:15:00,1,1,,,,,
107WD1115,11:25:00,11:25:00,2,2,,,,,
107WD1115,11:32:00,11:32:00,3,3,,,,,
107WD1115,11:37:00,11:37:00,4,4,,,,,
107WD1115,11:42:00,11:42:00,5,5,,,,,
107WD1115,11:47:00,11:47:00,4,6,,,,,
107WD1115,11:56:00,11:56:00,6,7,,,,,
107WD1115,12:15:00,12:15:00,1,8,,,,,
107WD1215,12:15:00,12:15:00,1,1,,,,,
107WD1215,12:25:00,12:25:00,2,2,,,,,
107WD1215,12:32:00,12:32:00,3,3,,,,,
107WD1215,12:37:00,12:37:00,4,4,,,,,
107WD1215,12:42:00,12:42:00,5,5,,,,,
107WD1215,12:47:00,12:47:00,4,6,,,,,
107WD1215,12:56:00,12:56:00,6,7,,,,,
107WD1215,13:15:00,13:15:00,1,8,,,,,
107WD1315,13:15:00,13:15:00,1,1,,,,,
107WD1315,13:25:00,13:25:00,2,2,,,,,
107WD1315,13:32:00,13:32:00,3,3,,,,,
107WD1315,13:37:00,13:37:00,4,4,,,,,
