route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,blockname
1,305,132868020,ALTON PARK,0,202,1:04,1010
1,305,132869020,DOWNTOWN,1,202,1:66,1010
10A,305,132870020,AVONDALE,0,202,10A:01,1010
10G,305,132871020,DOWNTOWN,1,202,10G:54,1010
7,305,132872020,CHATTANOOGA HOUSING AUTHORITY,0,202,7:01,1010
10A,64,130473010,AVONDALE,0,101,10A:01,101
10A,64,130476010,DOWNTOWN,1,101,10A:59,101
10G,64,130575010,GLENWOOD,0,101,10G:04,101
10G,64,130584010,DOWNTOWN,1,101,10G:54,101
4,64,132853010,EASTGATE HAMILTON PL,0,101,4:13,101
4,64,132854010,DOWNTOWN VIA GOLDEN GATE,1,101,4:69,101
21,64,132855010,GOLDEN GATEWAY,0,101,21:01,101
21,64,132856010,DOWNTOWN,1,101,21:51,101
1,64,132884010,ALTON PARK,0,101,1:04,101
1,64,132886010,ALTON PARK,0,101,1:03,101
1,64,132894010,DOWNTOWN,1,101,1:66,101
1,64,132896010,DOWNTOWN,1,101,1:66,101
1,305,130201020,ALTON PARK,0,102,1:03,101
1,305,130204020,ALTON PARK,0,102,1:03,101
1,305,130211020,ALTON PARK,0,102,1:03,101
1,305,130216020,ALTON PARK,0,102,1:03,101
1,305,130222020,DOWNTOWN,1,102,1:66,101
1,305,130228020,DOWNTOWN,1,102,1:66,101
1,305,130231020,DOWNTOWN,1,102,1:66,101
1,58,130257070,ALTON PARK,0,907,1:03,103
1,58,130263070,DOWNTOWN,1,907,1:66,103
1,58,130269070,DOWNTOWN,1,907,1:66,103
1,58,130274070,DOWNTOWN,1,907,1:66,103
10A,58,130437070,AVONDALE,0,907,10A:04,103
10A,58,130442070,AVONDALE,0,907,10A:01,103
10G,58,130539070,GLENWOOD,0,907,10G:04,103
10G,58,130544070,GLENWOOD,0,907,10G:04,103
10G,58,130556070,DOWNTOWN,1,907,10G:54,103
10G,58,130561070,DOWNTOWN,1,907,10G:54,103
10A,58,132858070,DOWNTOWN,1,907,10A:59,103
10A,58,132859070,DOWNTOWN,1,907,10A:52,103
1,305,130214020,ALTON PARK,0,1002,1:04,1032
1,305,130240020,DOWNTOWN,1,1002,1:66,1032
10A,305,130407020,DOWNTOWN VIA DODSON AVE HEALTH CTR,1,1002,10A:57,1032
10G,305,130491020,GLENWOOD,0,1002,10G:04,1032
1,305,130221020,ALTON PARK,0,1102,1:04,1033
1,305,130242020,DOWNTOWN,1,1102,1:66,1033
10A,305,130393020,AVONDALE,0,1102,10A:01,1033
10G,305,130523020,DOWNTOWN,1,1102,10G:55,1033
1,305,130202020,ALTON PARK,0,1202,1:04,104
1,305,130223020,DOWNTOWN,1,1202,1:66,104
13,305,130594020,ROSSVILLE,0,2002,13:03,1351
13,305,130595020,ROSSVILLE,0,2002,13:03,1351
13,305,130596020,ROSSVILLE,0,2002,13:03,1351
13,305,130597020,ROSSVILLE,0,2002,13:02,1351
13,305,130606020,DOWNTOWN,1,2002,13:53,1351
13,305,130607020,DOWNTOWN,1,2002,13:53,1351
13,305,130608020,DOWNTOWN,1,2002,13:53,1351
13,305,130609020,DOWNTOWN,1,2002,13:53,1351
13,305,130610020,DOWNTOWN,1,2002,13:52,1351
10A,305,130425020,DOWNTOWN,1,2102,10A:52,150
10G,305,130502020,GLENWOOD,0,2102,10G:03,150
4,305,131556020,EASTGATE HAMILTON PL,0,2102,4:13,150
4,305,131557020,EASTGATE HAMILTON PL,0,2102,4:13,150
4,305,131558020,EASTGATE HAMILTON PL,0,2102,4:13,150
4,305,131629020,DOWNTOWN,1,2102,4:64,150
4,305,131630020,DOWNTOWN,1,2102,4:64,150
4,305,131631020,DOWNTOWN,1,2102,4:65,150
15,305,130959020,ST ELMO VIA INCLINE ,0,2202,15:03,1501
15,305,130960020,ST ELMO VIA INCLINE ,0,2202,15:01,1501
15,305,130961020,ST ELMO VIA INCLINE ,0,2202,15:01,1501
15,305,130962020,ST ELMO VIA INCLINE ,0,2202,15:01,1501
15,305,130963020,ST ELMO VIA INCLINE ,0,2202,15:01,1501
15,305,130964020,ST ELMO VIA INCLINE ,0,2202,15:01,1501
15,305,130970020,DOWNTOWN ,1,2202,15:51,1501
10A,305,130423020,DOWNTOWN,1,2802,10A:59,1518
10G,305,130506020,GLENWOOD,0,2802,10G:04,1518
1,305,132912020,ALTON PARK,0,2802,1:04,1518
1,305,132936020,DOWNTOWN,1,2802,1:66,1518
10A,305,130431020,DOWNTOWN,1,2902,10A:52,1519
10C,305,130488020,CAMPBELL,0,2902,10C:06,1519
10C,305,130489020,CAMPBELL,0,2902,10C:02,1519
10G,305,130535020,DOWNTOWN VIA HWY 58 STUART,1,2902,10G:52,1519
10A,64,130469010,AVONDALE,0,3001,10A:04,152
10A,64,130470010,AVONDALE,0,3001,10A:01,152
10A,64,130477010,DOWNTOWN,1,3001,10A:52,152
10A,64,130478010,DOWNTOWN,1,3001,10A:59,152
10G,64,130576010,GLENWOOD,0,3001,10G:04,152
10G,64,130577010,GLENWOOD,0,3001,10G:04,152
10G,64,130580010,DOWNTOWN,1,3001,10G:54,152
10G,64,130581010,DOWNTOWN,1,3001,10G:54,152
1,64,132888010,ALTON PARK,0,3001,1:03,152
1,64,132890010,ALTON PARK,0,3001,1:03,152
1,64,132892010,ALTON PARK,0,3001,1:03,152
1,64,132898010,DOWNTOWN,1,3001,1:66,152
1,64,132900010,DOWNTOWN,1,3001,1:66,152
1,64,132902010,DOWNTOWN,1,3001,1:66,152
10A,305,130424020,DOWNTOWN,1,3502,10A:59,156
10G,305,130507020,GLENWOOD,0,3502,10G:04,156
10G,305,130515020,DOWNTOWN,1,3502,10G:54,156
1,305,132916020,ALTON PARK,0,3502,1:03,156
1,305,132940020,DOWNTOWN,1,3502,1:66,156
10A,58,130435070,AVONDALE,0,3507,10A:01,156
10A,58,130436070,AVONDALE,0,3507,10A:01,156
10A,58,130453070,DOWNTOWN,1,3507,10A:52,156
10A,58,130455070,DOWNTOWN,1,3507,10A:52,156
10G,58,130549070,GLENWOOD,0,3507,10G:03,156
10G,58,130551070,GLENWOOD,0,3507,10G:04,156
10G,58,130572070,DOWNTOWN,1,3507,10G:54,156
10G,58,130573070,DOWNTOWN,1,3507,10G:54,156
1,58,132965070,ALTON PARK,0,3507,1:03,156
1,58,132968070,ALTON PARK,0,3507,1:03,156
1,58,132970070,ALTON PARK,0,3507,1:03,156
1,58,132972070,ALTON PARK,0,3507,1:03,156
1,58,132985070,DOWNTOWN,1,3507,1:66,156
1,58,132988070,DOWNTOWN,1,3507,1:53,156
1,58,132990070,DOWNTOWN,1,3507,1:53,156
1,58,132992070,DOWNTOWN,1,3507,1:55,156
10A,305,130397020,AVONDALE,0,3602,10A:01,157
10A,305,130399020,AVONDALE,0,3602,10A:01,157
10G,305,130527020,DOWNTOWN,1,3602,10G:54,157
10G,305,130529020,DOWNTOWN,1,3602,10G:55,157
2,305,131130020,NORTH CHATTANOOGA,0,4402,2:01,202
2,305,131131020,NORTH CHATTANOOGA,0,4402,2:01,202
2,305,131132020,NORTH CHATTANOOGA,0,4402,2:01,202
2,305,131133020,NORTH CHATTANOOGA,0,4402,2:01,202
2,305,131144020,NORTH CHATTANOOGA,0,4402,2:01,202
2,305,131148020,DOWNTOWN,1,4402,2:51,202
2,305,131150020,DOWNTOWN,1,4402,2:51,202
2,305,131152020,DOWNTOWN,1,4402,2:51,202
2,305,131155020,DOWNTOWN,1,4402,2:51,202
2,305,131157020,DOWNTOWN,1,4402,2:51,202
2,305,131159020,DOWNTOWN,1,4402,2:51,202
2,305,131161020,DOWNTOWN,1,4402,2:53,202
2,305,131170020,DOWNTOWN,1,4402,2:51,202
21,305,131173020,GOLDEN GATEWAY,0,4402,21:01,202
21,305,131175020,GOLDEN GATEWAY,0,4402,21:01,202
21,305,131177020,GOLDEN GATEWAY,0,4402,21:01,202
21,305,131178020,GOLDEN GATEWAY,0,4402,21:01,202
21,305,131180020,GOLDEN GATEWAY,0,4402,21:01,202
21,305,131182020,GOLDEN GATEWAY,0,4402,21:01,202
21,305,131184020,GOLDEN GATEWAY,0,4402,21:01,202
21,305,131202020,DOWNTOWN,1,4402,21:51,202
21,305,131203020,DOWNTOWN,1,4402,21:51,202
21,305,131205020,DOWNTOWN,1,4402,21:51,202
21,305,131206020,DOWNTOWN,1,4402,21:51,202
21,305,131208020,DOWNTOWN,1,4402,21:51,202
21,305,131210020,DOWNTOWN,1,4402,21:51,202
21,305,131212020,DOWNTOWN,1,4402,21:51,202
2,305,131139020,NORTH CHATTANOOGA,0,4502,2:02,251
3,58,131349070,ENTERPRISE SOUTH,0,5007,3:02,301
3,58,131351070,ENTERPRISE SOUTH,0,5007,3:02,301
3,58,131355070,3 DOWNTOWN ,1,5007,3:51,301
3,58,131356070,3 DOWNTOWN ,1,5007,3:51,301
3,58,131358070,3 DOWNTOWN ,1,5007,3:53,301
16,305,130984020,NORTHGATE,0,5102,16:11,302
16,305,131013020,DOWNTOWN,1,5102,16:20,302
3,305,131334020,ENTERPRISE SOUTH,0,5102,3:15,302
3,305,131341020,3 DOWNTOWN ,1,5102,3:51,302
9,305,132000020,EAST LAKE  ,0,5102,9:02,302
9,305,132001020,EAST LAKE  ,0,5102,9:02,302
9,305,132030020,DOWNTOWN,1,5102,9:51,302
9,305,132031020,DOWNTOWN,1,5102,9:52,302
3,58,131357070,3 DOWNTOWN ,1,5107,3:53,302
3,58,132883070,ENTERPRISE SOUTH,0,5107,3:15,302
3,305,131335020,ENTERPRISE SOUTH,0,5202,3:15,303
3,305,131336020,ENTERPRISE SOUTH,0,5202,3:02,303
3,305,131342020,3 DOWNTOWN ,1,5202,3:51,303
3,305,131344020,3 DOWNTOWN ,1,5202,3:53,303
3,305,131337020,ENTERPRISE SOUTH,0,5302,3:15,304
33,58,132414070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132420070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132426070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132432070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132438070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132444070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132450070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132456070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132462070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132515070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132519070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132523070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132527070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132533070,SHUTTLE PARK NORTH,0,5707,33:01,3301
33,58,132537070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132541070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132547070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132553070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132559070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132565070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132571070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132577070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132583070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132589070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132595070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132648070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132652070,SHUTTLE PARK SOUTH,1,5707,33:51,3301
33,58,132516070,SHUTTLE PARK NORTH,0,5807,33:01,3302
33,58,132520070,SHUTTLE PARK NORTH,0,5807,33:01,3302
33,58,132524070,SHUTTLE PARK NORTH,0,5807,33:01,3302
33,58,132528070,SHUTTLE PARK NORTH,0,5807,33:01,3302
33,58,132534070,SHUTTLE PARK NORTH,0,5807,33:01,3302
33,58,132538070,SHUTTLE PARK SOUTH,1,5807,33:51,3302
33,58,132542070,SHUTTLE PARK SOUTH,1,5807,33:51,3302
33,58,132548070,SHUTTLE PARK SOUTH,1,5807,33:51,3302
33,58,132554070,SHUTTLE PARK SOUTH,1,5807,33:51,3302
33,58,132560070,SHUTTLE PARK SOUTH,1,5807,33:51,3302
33,58,132566070,SHUTTLE PARK SOUTH,1,5807,33:51,3302
