trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
109WD,06:15:00,06:15:00,1,1,NA,NA,NA,NA,NA
109WD,06:25:00,06:25:00,2,2,NA,NA,NA,NA,NA
109WD,06:32:00,06:32:00,3,3,NA,NA,NA,NA,NA
109WD,06:37:00,06:37:00,4,4,NA,NA,NA,NA,NA
109WD,06:42:00,06:42:00,5,5,NA,NA,NA,NA,NA
109WD,06:47:00,06:47:00,4,6,NA,NA,NA,NA,NA
109WD,06:56:00,06:56:00,6,7,NA,NA,NA,NA,NA
109WD,07:15:00,07:15:00,1,8,NA,NA,NA,NA,NA
109WD,07:15:00,07:15:00,1,1,NA,NA,NA,NA,NA
109WD,07:25:00,07:25:00,2,2,NA,NA,NA,NA,NA
109WD,07:32:00,07:32:00,3,3,NA,NA,NA,NA,NA
109WD,07:37:00,07:37:00,4,4,NA,NA,NA,NA,NA
109WD,07:42:00,07:42:00,5,5,NA,NA,NA,NA,NA
109WD,07:47:00,07:47:00,4,6,NA,NA,NA,NA,NA
109WD,07:56:00,07:56:00,6,7,NA,NA,NA,NA,NA
109WD,08:15:00,08:15:00,1,8,NA,NA,NA,NA,NA
109WD,08:15:00,08:15:00,1,1,NA,NA,NA,NA,NA
109WD,08:25:00,08:25:00,2,2,NA,NA,NA,NA,NA
109WD,08:32:00,08:32:00,3,3,NA,NA,NA,NA,NA
109WD,08:37:00,08:37:00,4,4,NA,NA,NA,NA,NA
109WD,08:42:00,08:42:00,5,5,NA,NA,NA,NA,NA
109WD,08:47:00,08:47:00,4,6,NA,NA,NA,NA,NA
109WD,08:56:00,08:56:00,6,7,NA,NA,NA,NA,NA
109WD,09:15:00,09:15:00,1,8,NA,NA,NA,NA,NA
109WD,09:15:00,09:15:00,1,1,NA,NA,NA,NA,NA
109WD,09:25:00,09:25:00,2,2,NA,NA,NA,NA,NA
109WD,09:32:00,09:32:00,3,3,NA,NA,NA,NA,NA
109WD,09:37:00,09:37:00,4,4,NA,NA,NA,NA,NA
109WD,09:42:00,09:42:00,5,5,NA,NA,NA,NA,NA
109WD,09:47:00,09:47:00,4,6,NA,NA,NA,NA,NA
109WD,09:56:00,09:56:00,6,7,NA,NA,NA,NA,NA
109WD,10:15:00,10:15:00,1,8,NA,NA,NA,NA,NA
109WD,10:15:00,10:15:00,1,1,NA,NA,NA,NA,NA
109WD,10:25:00,10:25:00,2,2,NA,NA,NA,NA,NA
109WD,10:32:00,10:32:00,3,3,NA,NA,NA,NA,NA
109WD,10:37:00,10:37:00,4,4,NA,NA,NA,NA,NA
109WD,10:42:00,10:42:00,5,5,NA,NA,NA,NA,NA
109WD,10:47:00,10:47:00,4,6,NA,NA,NA,NA,NA
109WD,10:56:00,10:56:00,6,7,NA,NA,NA,NA,NA
109WD,11:15:00,11:15:00,1,8,NA,NA,NA,NA,NA
109WD,11:15:00,11:15:00,1,1,NA,NA,NA,NA,NA
109WD,11:25:00,11:25:00,2,2,NA,NA,NA,NA,NA
109WD,11:32:00,11:32:00,3,3,NA,NA,NA,NA,NA
109WD,11:37:00,11:37:00,4,4,NA,NA,NA,NA,NA
109WD,11:42:00,11:42:00,5,5,NA,NA,NA,NA,NA
109WD,11:47:00,11:47:00,4,6,NA,NA,NA,NA,NA
109WD,11:56:00,11:56:00,6,7,NA,NA,NA,NA,NA
109WD,12:15:00,12:15:00,1,8,NA,NA,NA,NA,NA
109WD,12:15:00,12:15:00,1,1,NA,NA,NA,NA,NA
109WD,12:25:00,12:25:00,2,2,NA,NA,NA,NA,NA
109WD,12:32:00,12:32:00,3,3,NA,NA,NA,NA,NA
109WD,12:37:00,12:37:00,4,4,NA,NA,NA,NA,NA
109WD,12:42:00,12:42:00,5,5,NA,NA,NA,NA,NA
109WD,12:47:00,12:47:00,4,6,NA,NA,NA,NA,NA
109WD,12:56:00,12:56:00,6,7,NA,NA,NA,NA,NA
109WD,13:15:00,13:15:00,1,8,NA,NA,NA,NA,NA
109WD,13:15:00,13:15:00,1,1,NA,NA,NA,NA,NA
109WD,13:25:00,13:25:00,2,2,NA,NA,NA,NA,NA
109WD,13:32:00,13:32:00,3,3,NA,NA,NA,NA,NA
109WD,13:37:00,13:37:00,4,4,NA,NA,NA,NA,NA
109WD,13:42:00,13:42:00,5,5,NA,NA,NA,NA,NA
109WD,13:47:00,13:47:00,4,6,NA,NA,NA,NA,NA
109WD,13:56:00,13:56:00,6,7,NA,NA,NA,NA,NA
109WD,14:15:00,14:15:00,1,8,NA,NA,NA,NA,NA
109WD,14:15:00,14:15:00,1,1,NA,NA,NA,NA,NA
